rank,uri,artist_names,track_name,source,peak_rank,previous_rank,weeks_on_chart,streams
99,"spotify:track:0lTurWECr2XL607eJAj1A3","Meghan Trainor","I'll Be Home","Epic",48,-1,45,"121657"
100,"spotify:track:3ng6kO3MEzOMBUDyWJxTHM","KALASET","Tag Mig Som Jeg Er","Capitol Records Denmark",37,78,46,"119763"
101,"spotify:track:0uzDIwBM4LEzKDTDbQDdeG","Cisilia, Hasan Shah","Kold December","Universal Music A/S",33,-1,43,"119632"
102,"spotify:track:65C4AmFA6oyMJ2lwLNPiIB","D1MA","CLEOPATRA","7OUMA Records",4,83,61,"119576"
103,"spotify:track:4BXLTcYVt63AL28pQXnxp4","Blæst","Vi ku' gå hele vejen","Island Records Denmark / Capitol Records Denmark",17,75,35,"119064"
104,"spotify:track:3U5GCXbScUOE9X2FS2YzNE","Pyrus","Cool Jul","Pladecompagniet",87,191,25,"118656"
105,"spotify:track:14PKbo4siqXvTvtQDQvgRm","Rasmus Seebach","Sig Du Ser Mig (Julen Er Hjerternes Fest)","Capitol Records Denmark",52,-1,19,"118192"
106,"spotify:track:0h35J8A4GHIlQXcxVAEmF5","APHACA","Til Solen Er Sort","a United Records release",18,82,43,"113728"
107,"spotify:track:67mgz7S5y7hnCE63YBjfO6","Michael Bublé","Holly Jolly Christmas","Reprise",55,-1,38,"112232"
108,"spotify:track:2Ikfha5EGyRU9TML7oi8zz","Gobs, One Two","igen & igen","WM Denmark",1,81,35,"111820"
109,"spotify:track:5fFVI2cNXckUEkttuVOumi","Anton Westerlin, Annika","Blodigt (feat. Annika)","Universal Music A/S",1,86,44,"111290"
110,"spotify:track:36rMpQGbl2YULy0uZ9sCd0","Ida Laurberg","Vintermiraklet - Valdes Jul","Capitol Records Denmark",110,-1,1,"110950"
111,"spotify:track:11P4sSu6BH2lAbWk1sL6cK","Elton John","Step Into Christmas - Remastered 1995","EMI",53,-1,38,"110451"
112,"spotify:track:3yt2wA5DdscvjJLhEjUwpI","Caroline Henderson","Vil Du Være Min I Nat","Universal Music A/S",59,-1,39,"110349"
113,"spotify:track:3LlqJkcXMBIAE5X1uUiZUN","The Minds Of 99","Under Din Sne","No3",2,101,210,"110115"
114,"spotify:track:3XgYZ3SJgAMcFS1nkgMCUX","Gobs","10.000 Kilometer","WM Denmark",8,64,5,"109991"
115,"spotify:track:6dOtVTDdiauQNBQEDOtlAB","Billie Eilish","BIRDS OF A FEATHER","Darkroom/Interscope Records",8,87,80,"109861"
116,"spotify:track:5WreB2Em99u738oIatXoMw","Faza","Turn Up","Universal Music A/S",41,113,9,"109464"
117,"spotify:track:05od2qm2MTSKCHxy1GBp5W","sombr","12 to 12","Warner Records",17,80,18,"109310"
118,"spotify:track:3gukljqC5QwPzuxxnXQGi2","Cizzo","Turbo S","Immobiliare Records",39,73,4,"108673"
119,"spotify:track:58K5nAWRgdHtdUdrQaScGv","Youknowwho, Christina","Finally It's Christmas Again","Universal Music A/S",37,-1,46,"107719"
120,"spotify:track:6sJNTXkXHK7cWQJNIjaqRW","Burhan G","Så Blev Det Jul","Universal Music A/S",102,-1,16,"107043"
121,"spotify:track:7Mk6Ys0HVyLEkgd0omsXQ3","De Nattergale","It's Hard to Be a Nissemand","Music Manager",39,-1,45,"106607"
122,"spotify:track:6XkLzHg4OmaWNltw6HZVBx","Mille","beholder mit tøj på","WM Denmark",17,79,30,"105475"
123,"spotify:track:0LGFzdaDPdHxM0Yok344XN","Karen Gardelli","Alletiders Jul","Pladecompagniet",123,-1,27,"104481"
124,"spotify:track:7qjZnBKE73H4Oxkopwulqe","sombr","back to friends","Warner Records",34,99,35,"104117"
125,"spotify:track:3aQzeklWllLWZSH4xk7Udj","D1MA","I KNOW","7OUMA Records",1,84,126,"103354"
126,"spotify:track:7Ivelh8N9J25Yj9KKxYj6w","Michael Bublé","Santa Claus Is Coming to Town","Reprise",24,-1,47,"102587"
127,"spotify:track:2RKQ6S9N9s0BHmW1zvjaoS","Rasmus Seebach","Under Stjernerne På Himlen","Universal Music AB",105,116,235,"101836"
128,"spotify:track:3sZfx0e6SKozJFsODqf09R","Mumle","Julefred","Capitol Records",128,-1,3,"101621"
129,"spotify:track:2doTTX8MLsVnAyAQqmqV7j","Blæst","Elsker Dig Så Meget","Universal Music A/S",19,100,73,"101360"
130,"spotify:track:2v5RxyOtY5uSH2EAtz94SL","Benjamin Hav, Lukas Graham","Du ligner din mor","Sony Music Entertainment",1,58,48,"100668"
131,"spotify:track:5vg7EMt5V4vTlEpLskPgLu","Rasmus Seebach","Falder","Universal Music AB",19,119,44,"99955"
132,"spotify:track:7Bq88PREKyoAZDuPeqTWbM","Tobias Rahim","Elsker når du smiler","Os Der Følger Floden",6,97,10,"99632"
133,"spotify:track:1hEIJTv8PkMXnWTIB2dEYI","Gnags","Gnags' Julesang","Sony BMG Music Entertainment",55,-1,40,"99024"
134,"spotify:track:0H2DdxpCOXES3vw1dNmf4V","APHACA","Klip Klap Sandaler","a United Records release",27,112,46,"98201"
135,"spotify:track:57Z6TJCTMACXxdrcwZ3Zvf","EsDeeKid, Rico Ace","Phantom","Lizzy Records",135,-1,1,"98125"
136,"spotify:track:0i4Tf0W7BdBXBdRO5AfuWI","Mille","drikker med mig selv","WM Denmark",6,90,40,"98093"
137,"spotify:track:3Vd4fHzwS6pBS3muymjiDi","Olivia Dean","Let Alone The One You Love","PLG - Capitol",101,143,9,"96059"
138,"spotify:track:6eazCEpKOOddgwjoAnOdwD","Lille Per","Til Julebal I Nisseland","Universal Music A/S",120,-1,22,"95521"
139,"spotify:track:3v2d3qpgx5s7cwpMg71i3O","Jimmy Jørgensen, Annika Aakjær, Chapper","Stjernestøv - Fra julekalenderen 'Julestjerner'","Mermaid Records",90,-1,32,"94527"
140,"spotify:track:7yogx3TwxGwSxO2QITsT2q","Sabrina Carpenter","A Nonsense Christmas","Island Records",59,-1,4,"93838"
141,"spotify:track:0oCtlIqcU9Y4RzZCfjb4J5","Annika","Tilbage","Universal Music A/S",39,109,50,"93662"
142,"spotify:track:3yWuTOYDztXjZxdE2cIRUa","Taylor Swift","Opalite","Taylor Swift",3,96,8,"93299"
143,"spotify:track:2qqZ5fOGuNvYVzgPFDLQ4l","Boney M.","Mary's Boy Child / Oh My Lord","Sony Music Catalog",39,-1,43,"92806"
144,"spotify:track:1NghHeg0wE32eBYrQBVQXL","Train","Shake Up Christmas","Columbia",37,-1,45,"92638"
145,"spotify:track:5ePUy0MpnORgr9PQ897KJ0","Emil Kruse, OK OK, Anthon Edwards","Copenhagen City","Sony Music Entertainment",65,142,6,"91929"
146,"spotify:track:4wuBwKxaUYZvT673dqr9dF","Rasmus Seebach","I Mine Øjne","Universal Music AB",122,122,2,"91445"
147,"spotify:track:2L92xNcMyBtRCTBRK1jprq","Rasmus Seebach, Ankerstjerne","Millionær","Universal Music AB",123,123,9,"91184"
148,"spotify:track:103dSvGgdVisdi7OAqdihj","Guldimund","Det´ kun vigtigt, hvad det er","a Capitol Records Denmark release",24,121,83,"90406"
149,"spotify:track:36vmaZyO0iAE6FZ7287fg2","Olivia Dean","Dive","PLG - Capitol",100,126,13,"90367"
150,"spotify:track:5QnuTl3rLO6IVmMn3JVwt5","Cizzo","Kensington","Immobiliare Records",26,107,6,"89809"
151,"spotify:track:1ZlB5FYVSDtd84WMVBUy5n","Faza","BS","Universal Music A/S",151,-1,1,"89658"
152,"spotify:track:60BBH4647wEsUbNeTaipWt","Nissebanden, Marianne van Toornburg","Nu Er Det Jul (feat. Marianne van Toornburg)","Parlophone Denmark",116,-1,24,"89475"
153,"spotify:track:6ZC9iIWBCy4VtBhoY1YTuR","Annika","Hun","Universal Music A/S",17,140,81,"89289"
154,"spotify:track:3OTl4pUVk1Ekpifn632rAR","Børnemusik Dyrene, Børne Musen, Børnesange Aben","Decembersang (Det Sørme)","Universal Music A/S",81,-1,25,"89158"
155,"spotify:track:62EPQ5REuZwGqWoRsPP5Bx","APHACA","Hjertet På Gaden","a United Records release",16,136,45,"88761"
156,"spotify:track:2xMNfvnn3RoXtKI1tbR9jF","Rasmus Seebach","Den Jeg Er","Universal Music AB",156,-1,1,"88268"
157,"spotify:track:2OQ6a4CfUeYskpTTgyawyJ","Gwen Stefani, Blake Shelton","You Make It Feel Like Christmas (feat. Blake Shelton)","UMGRI Interscope",66,-1,40,"88042"
158,"spotify:track:62ULtmT9IgrELMOpd4SJqi","Blæst","Den nye pige","Island Records Denmark / Capitol Records Denmark",22,95,13,"87687"
159,"spotify:track:7LfXlV4xLdo3BqHxy1VJu1","Cizzo","Marcelo","Immobiliare Records",34,111,4,"87665"
160,"spotify:track:789CxjEOtO76BVD1A9yJQH","Rihanna, Mikky Ekko","Stay","Def Jam Recordings",103,124,43,"87106"
161,"spotify:track:2j59di23XCFfbdJPE5KuNw","Lamin, Gilli","Hva Du På (feat. Gilli)","Universal Music A/S",1,129,78,"87016"
162,"spotify:track:66tlRqExpkn4kRyuxelzs5","Tate McRae","ANYTHING BUT LOVE","RCA Records Label",162,-1,1,"86922"
163,"spotify:track:0vHFLAbbWuONECX3WCeXk1","Sanne Salomonsen, Nikolaj Steen","Vi lover hinanden","Parlophone Denmark",68,-1,40,"86779"
164,"spotify:track:06xTqHT6GtcNrUOykoXSTo","Burhan G","Jeg Så Julemanden Kysse Mor","Universal Music A/S",112,-1,19,"86675"
165,"spotify:track:1dByUyyoRKL99fJJ6VCQzb","Tate McRae","TIT FOR TAT","RCA Records Label",28,-1,7,"86237"
166,"spotify:track:3xkHsmpQCBMytMJNiDf3Ii","Benson Boone","Beautiful Things","Night Street Records, Inc./Warner Records Inc.",3,104,97,"86145"
167,"spotify:track:7Jyuh91JYGoh8ps4hIRD1P","Malte Ebert","Er det mig du elsker?","Universal Music A/S",59,176,34,"85599"
168,"spotify:track:5ORpbaU6L7qdSYoQg62JLi","Noah Carter, Gilli","Pogba (feat. Gilli)","RCA Records",5,125,24,"84629"
169,"spotify:track:5JTm4djpshQh6pNdqdm1tG","Micky Skeel","Kære Julemand","WM Denmark",70,-1,22,"84249"
170,"spotify:track:2DDTfTNiglWtbbqUsQ1RJt","Lamin","De Her Timer","Universal Music A/S",2,168,79,"84189"
171,"spotify:track:38MRF4igGDBhv6CSZN1K50","D1MA","A List (Intro)","Universal Music A/S",59,-1,3,"84152"
172,"spotify:track:5SruEBX3KpgpDvEcIuN53P","Olivia Dean","Baby Steps","PLG - Capitol",87,146,9,"84047"
173,"spotify:track:1JSTJqkT5qHq8MDJnJbRE1","The Police","Every Breath You Take","Polydor Records",118,138,29,"83808"
174,"spotify:track:02sy7FAs8dkDNYsHp4Ul3f","Saja Boys, Andrew Choi, Neckwav, Danny Chung, KEVIN WOO, samUIL Lee, KPop Demon Hunters Cast","Soda Pop","K-Pop Demon Hunters",26,114,21,"83803"
175,"spotify:track:3QaPy1KgI7nu9FJEQUgn6h","Billie Eilish","WILDFLOWER","Darkroom/Interscope Records",31,-1,69,"83506"
176,"spotify:track:7AxXJXqJOMRqkgZxvG3r6E","Tate McRae","TRYING ON SHOES","RCA Records Label",176,-1,1,"83145"
177,"spotify:track:7IuV1ncgemMSP0qJYvhxj9","Rasmus Seebach","Olivia","Universal Music AB",146,182,9,"82007"
178,"spotify:track:5NUXAUIItJAxBIUOdm0gUf","Jonas Brothers","Like It's Christmas","Hollywood Records",79,-1,24,"81865"
179,"spotify:track:3XsaSIPWvM61RIFfeb0BBR","Bing Crosby, Ken Darby Singers, John Scott Trotter & His Orchestra","White Christmas - 1947 Version","Geffen",25,-1,46,"81502"
180,"spotify:track:5yiJTfrtlzDsVMDshFLUna","Artigeardit, Lamin","vi ku' blive","Universal Music A/S",4,127,122,"81316"
181,"spotify:track:5UJbgR4XF4y1DvbkxEqe8S","Tate McRae","Sports car","RCA Records Label",23,196,34,"81069"
182,"spotify:track:2gYTC8DsplN3RNdpdBcCOQ","SIENNA SPIRO","Die On This Hill","Capitol Records",167,167,3,"81021"
183,"spotify:track:1N1ZpYUJc9fwrqk53FGgWv","Sia","Santa's Coming for Us","Monkey Puzzle/Atlantic",57,-1,41,"80952"
184,"spotify:track:1upFqX3mJflCB0QGJNJStY","Christopher, Thor Farlov","Hvor Var Jeg Endt","WM Denmark",7,164,34,"80588"
185,"spotify:track:76ol9JbwVYhuYk5sey6CAo","Malte Ebert","Christmas Without You","Universal Music A/S",111,-1,21,"80467"
186,"spotify:track:1TjxFh0GZiQedyDJb5mb2s","JONATHAN","hun mærker aldrig smerten.","Jonathan Tage",65,103,9,"80236"
187,"spotify:track:1yxcKrEcxt4O03IIC25yHk","Tony Bennett","Winter Wonderland","Columbia/Legacy",18,-1,45,"79940"
188,"spotify:track:2SIn4GfX7nAEQZ9abmHWbr","Anton Westerlin, Lamin, ozzy","Entré (feat. Lamin & ozzy)","Universal Music A/S",1,118,38,"79863"
189,"spotify:track:5RR4sBH4TRqyFp386kf99d","Gilli","Knokler Hårdt","disco:wax",46,148,103,"79783"
190,"spotify:track:3cPoiK69oQ1SdbB2j2ulGm","Olivia Dean","The Hardest Part","PLG - Capitol",125,156,12,"79603"
191,"spotify:track:4fPrWkDWkW0BpYlfDu1M0P","Alexander Oscar","This Christmas","Universal Music A/S",81,-1,22,"79561"
192,"spotify:track:3GZD6HmiNUhxXYf8Gch723","Frank Ocean","Lost","Red Zone Entertainment / IDJ",27,131,174,"79478"
193,"spotify:track:17phhZDn6oGtzMe56NuWvj","Teddy Swims","Lose Control","Warner Records",9,145,101,"79004"
194,"spotify:track:1IUtgwxLYzDVd41EgbKUjX","Justin Bieber, Mariah Carey","All I Want For Christmas Is You (SuperFestive!) Duet with Mariah Carey","RBMG/Def Jam",97,-1,27,"78672"
195,"spotify:track:2ENexcMEMsYk0rVJigVD3i","Rihanna","Only Girl (In The World)","Def Jam Recordings",71,134,72,"78448"
196,"spotify:track:7aAA31q5yItwIp1F06bPhC","Rasmus Seebach","Lidt I Fem","Universal Music AB",181,200,3,"78351"
197,"spotify:track:6kqqErlEe7aIrUZztf5skM","Berg","10 ud af 10","Sony Music Entertainment",9,141,23,"78230"
198,"spotify:track:65KKHRycAHzSGkwsLX87gu","Annika, Gilli","Bar bund (feat. Gilli)","Universal Music A/S",3,133,30,"78143"
199,"spotify:track:6xVtp04jMDg8mFtqGBLUT9","Svea S, Berg, Klamfyr","Spotlight (feat. Berg & Klamfyr)","Universal Music A/S",10,151,18,"78066"
200,"spotify:track:1qRV1dKLOfH1s00b9J2LUQ","Zara Larsson","Midnight Sun","Sommer House/Epic",130,130,2,"78039"
